Продукт	Белки	Жиры	Углеводы	Ккал
брынза из коровьего молока	17.9	20.1	0	260
йогурт нат. 1.5% жирности	5	1.5	3.5	51
кефир нежирный	3	0.1	3.8	30
кефир жирный	2.8	3.2	4.1	59
молоко	2.8	3.2	4.7	58
молоко ацидофильное	2.8	3.2	10.8	83
молоко сухое цельное	25.6	25	39.4	475
молоко сгущеное	7	7.9	9.5	135
молоко сгущеное с сахаром	7.2	8.5	56	315
простокваша	2.8	3.2	4.1	58
ряженка	3	6	4.1	85
сливки 10%	3	10	4	118
сливки 20%	2.8	20	3.6	205
сметана 10%	3	10	2.9	116
сметана 20%	2.8	20	3.2	206
сырки и масса творожные особые	7.1	23	27.5	340
сыр российский	23.4	30	0	371
сыр голландский	26.8	27.3	0	361
сыр швейцарский	24.9	31.8	0	396
сыр пошехонский	26	26.5	0	334
сыр плавленный	24	13.5	0	226
творог жирный	14	18	1.3	226
творог полужирный	16.7	9	1.3	156
творог нежирный	18	0.6	1.5	86
жир топленый	0	99.7	0	897
шпик свиной (без шкурки)	1.4	92.8	0	816
маргарин молочный	0.3	82.3	1	746
маргарин бутербродный	0.5	82	1.2	744
майонез	3.1	67	2.6	627
масло растительное	0	99.9	0	899
масло сливочное	0.6	82.5	0.9	748
масло топленое	0.3	98	0.6	887
хлеб ржаной	4.7	0.7	49.8	214
хлеб пшен. из муки i сорта	7.7	2.4	53.4	254
сдобная выпечка	7.6	4.5	60	297
баранки	10.4	1.3	68.7	312
сушки	11	1.3	73	330
сухари пшеничные	11.2	1.4	72.4	331
сухари сливочные	8.5	10.6	71.3	397
мука пшеничная высш. сорта	10.3	0.9	74.2	327
мука пшеничная i сорта	10.6	1.3	73.2	329
мука пшеничная ii сорта	11.7	1.8	70.8	328
мука ржаная	6.9	1.1	76.9	326
гречневая ядрица	12.6	2.6	68	329
гречневая продел	9.5	1.9	72.2	326
манная	11.3	0.7	73.3	326
овсяная	11.9	5.8	65.4	345
перловая	9.3	1.1	73.7	324
пшено	12	2.9	69.3	334
рисовая	7	0.6	73.7	323
пшеничная “полтавская”	12.7	1.1	70.6	325
толокно	12.2	5.8	68.3	357
ячневая	10.4	1.3	71.7	322
геркулес	13.1	6.2	65.7	355
кукурузная	8.3	1.2	75	325
баклажаны	0.6	0.1	5.5	24
брюква	1.2	0.1	8.1	37
горошек зеленый	5.0	0.2	13.3	72
кабачки	0.6	0.3	5.7	27
капуста белокочанная	1.8	0	5.4	28
капуста краснокочанная	1.8	0	6.1	31
капуста цветная	2.5	0	4.9	29
картофель	2	0.1	19.7	83
лук зеленый (перо)	1.3	0	4.3	22
лук порей	3	0	7.3	40
лук репчатый	1.7	0	9.5	43
морковь красная	1.3	0.1	7	33
огурцы грунтовые	0.8	0	3	15
огурцы парниковые	0.7	0	1.8	10
перец зеленый сладкий	1.3	0	4.7	23
перец красный сладкий	1.3	0	5.7	27
петрушка (зелень)	3.7	0	8.1	45
петрушка (корень)	1.5	0	11	47
ревень (черешковый)	0.7	0	2.9	16
редис	1.2	0	4.1	20
редька	1.9	0	7	34
салат	1.5	0	2.2	14
свекла	1.7	0	10.8	48
томаты	0.6	0	4.2	19
зеленая фасоль	4	0	4.3	32
черемша	2.4	0	6.5	34
чеснок	6.5	0	21.2	106
шпинат	2.9	0	2.3	21
щавель	1.5	0	5.3	28
абрикосы	0.9	0	10.5	46
айва	0.6	0	8.9	38
алыча	0.2	0	7.4	34
ананас	0.4	0	11.8	48
бананы	1.5	0	22.4	91
вишня	0.8	0	11.3	49
гранат	0.9	0	11.8	52
груша	0.4	0	10.7	42
инжир	0.7	0	13.9	56
персики	0.9	0	10.4	44
слива садовая	0.8	0	9.9	43
финики	2.5	0	72.1	281
хурма	0.5	0	15.9	62
черешня	1.1	0	12.3	52
яблоки	0.4	0	11.3	46
апельсин	0.9	0	8.4	38
грейпфрут	0.9	0	7.3	35
лимон	0.9	0	3.6	31
мандарин	0.8	0	8.6	38
виноград	0.4	0	17.5	69
ежевика	2	0	5.3	33
земляника	1.8	0	8.1	41
клюква	0.5	0	4.8	28
крыжовник	0.7	0	9.9	44
малина	0.8	0	9	41
смородина белая	0.3	0	8.7	39
смородина черная	1.0	0	8.0	40
черника	1.1	0	8.6	40
шиповник свежий	1.6	0	24	101
шиповник сушеный	4.0	0	60	253
урюк	5	0	67.5	278
курага	5.2	0	65.9	272
изюм с косточкой	1.8	0	70.9	276
изюм кишмиш	2.3	0	71.2	279
вишня	1.5	0	73	292
груша	2.3	0	62.1	246
персики	3.0	0	68.5	275
чернослив	2.3	0	65.6	264
яблоки	3.2	0	68	273
бобы	6	0.1	8.3	58
горох лущеный	23	1.6	57.7	323
горох цельный	23	1.2	53.3	303
соя	34.9	17.3	26.5	395
фасоль	22.3	1.7	54.5	309
чечевица	24.8	1.1	53.7	310
белые свежие	3.2	0.7	1.6	25
белые сушеные	27.6	6.8	10	209
подберезовики свежие	2.3	0.9	3.7	31
подосиновики свежие	3.3	0.5	3.4	31
баранина	16.3	15.3	0	203
говядина	18.9	12.4	0	187
конина	20.2	7	0	143
кролик	20.7	12.9	0	199
свинина нежирная	16.4	27.8	0	316
свинина жирная	11.4	49.3	0	489
телятина	19.7	1.2	0	90
говяжья печень	17.4	3.1	0	98
говяжьи почки	12.5	1.8	0	66
говяжье вымя	12.3	13.7	0	173
говяжье сердце	15	3	0	87
говяжий язык	13.6	12.1	0	163
почки свинные	13	3.1	0	80
печень свинная	18.8	3.6	0	108
сердце свинное	15.1	3.2	0	89
язык свинной	14.2	16.8	0	208
гуси	16.1	33.3	0	364
индейка	21.6	12	0.8	197
куры	20.8	8.8	0.6	165
цыплята	18.7	7.8	0.4	156
утки	16.5	61.2	0	346
вареная колбаса диабетическая	12.1	22.8	0	254
